experiment,architecture,activation,optimizer,seq_length,gradient_clipping,test_accuracy,test_f1_score,time_per_epoch,test_loss,train_accuracy,val_accuracy,train_loss,val_loss
BiLSTM_relu_adam_100_clip,Bidirectional_LSTM,relu,adam,100,True,0.7824000120162964,0.782333187084709,45.50816707611084,0.48145753145217896,0.911549985408783,0.7835999727249146,0.23693183064460754,0.9749704003334045
RNN_tanh_rmsprop_100_clip,RNN,tanh,rmsprop,100,True,0.7767199873924255,0.7761127446867905,12.898092222213744,0.49826011061668396,0.8792499899864197,0.7379999756813049,0.3076781630516052,0.6423376202583313
BiLSTM_sigmoid_adam_50_clip,Bidirectional_LSTM,sigmoid,adam,50,True,0.7749999761581421,0.7749848699826576,18.993503093719482,0.4718887507915497,0.915149986743927,0.7567999958992004,0.22790542244911194,0.6364091634750366
BiLSTM_tanh_rmsprop_50_clip,Bidirectional_LSTM,tanh,rmsprop,50,True,0.7743200063705444,0.7742067059567809,18.391841888427734,0.4719254970550537,0.8988999724388123,0.7590000033378601,0.25717008113861084,0.5658428072929382
BiLSTM_tanh_rmsprop_50_noclip,Bidirectional_LSTM,tanh,rmsprop,50,False,0.7735199928283691,0.7734336713411646,18.74794011116028,0.4698331952095032,0.8969500064849854,0.7612000107765198,0.26525023579597473,0.5384291410446167
BiLSTM_tanh_sgd_100_clip,Bidirectional_LSTM,tanh,sgd,100,True,0.7726799845695496,0.7722759961199709,53.00959489345551,0.4845779240131378,0.7574999928474426,0.7735999822616577,0.5111950039863586,0.492872416973114
BiLSTM_relu_rmsprop_50_clip,Bidirectional_LSTM,relu,rmsprop,50,True,0.7723600268363953,0.7721510902561923,22.62515482902527,0.4696921110153198,0.891700029373169,0.7396000027656555,0.4189281761646271,0.6058878302574158
BiLSTM_sigmoid_adam_50_noclip,Bidirectional_LSTM,sigmoid,adam,50,False,0.7712000012397766,0.7711692085286996,19.257961201667786,0.4741250276565552,0.9164000153541565,0.7537999749183655,0.22239567339420319,0.646217942237854
LSTM_tanh_rmsprop_50_noclip,LSTM,tanh,rmsprop,50,False,0.7680000066757202,0.7675758262547936,11.029918813705445,0.4833041727542877,0.8772500157356262,0.765999972820282,0.30655673146247864,0.5246772170066833
LSTM_relu_rmsprop_50_clip,LSTM,relu,rmsprop,50,True,0.767520010471344,0.7673128093686697,12.613194394111634,0.49061596393585205,0.8637499809265137,0.7699999809265137,0.3458331525325775,0.5059528946876526
LSTM_relu_rmsprop_50_noclip,LSTM,relu,rmsprop,50,False,0.7668799757957458,0.7666410404253956,12.701335000991822,0.4871596395969391,0.8662499785423279,0.7730000019073486,0.4376407861709595,0.5142548680305481
LSTM_relu_adam_50_clip,LSTM,relu,adam,50,True,0.7662400007247925,0.76624,12.20251259803772,0.4832695424556732,0.9059000015258789,0.7523999810218811,0.23215535283088684,0.6564640402793884
RNN_tanh_rmsprop_100_noclip,RNN,tanh,rmsprop,100,False,0.7655199766159058,0.76310535141956,14.890982604026794,0.5522838830947876,0.9337499737739563,0.7283999919891357,0.18679673969745636,0.7928378582000732
LSTM_sigmoid_adam_50_clip,LSTM,sigmoid,adam,50,True,0.764680027961731,0.7645971528869538,12.432659363746643,0.4905788004398346,0.9002500176429749,0.7508000135421753,0.2629219591617584,0.578246533870697
LSTM_sigmoid_adam_50_noclip,LSTM,sigmoid,adam,50,False,0.764519989490509,0.7643918710218396,12.236072397232055,0.4878675043582916,0.9043499827384949,0.7477999925613403,0.2557350695133209,0.5840572714805603
BiLSTM_relu_adam_50_clip,Bidirectional_LSTM,relu,adam,50,True,0.764240026473999,0.7642186310402186,18.56964430809021,0.48709362745285034,0.8701500296592712,0.7476000189781189,0.5619576573371887,0.590800404548645
LSTM_tanh_rmsprop_50_clip,LSTM,tanh,rmsprop,50,True,0.7639200091362,0.7633910848095575,11.002192306518555,0.483243852853775,0.8721500039100647,0.7692000269889832,0.3124510645866394,0.523179292678833
